Date of Post,Headline
"November 27, 2023","Mother fatally shot son then killed herself, Prince George’s police say"
"November 27, 2023",Man is slain Friday evening in Prince George’s
"November 27, 2023","Man fatally shot in Capitol Heights, police say"
"November 27, 2023","Man found dead in vehicle in Alexandria, police say"
"November 26, 2023",34-year-old man fatally shot in Northeast Washington
"November 26, 2023","In Maryland, a walk for justice for a slain eighth-grader"
"November 25, 2023",D.C. officer charged after high-speed chase and car crash
"November 25, 2023","Their sons’ lives ended in gunfire. In grief, they found a second act."
"November 25, 2023",Man is slain Thanksgiving night in Prince George’s
"November 24, 2023",Suspected cocaine found at fatal gun battle with police in downtown D.C.
"November 23, 2023",Police identify man killed in officer-involved shooting in downtown D.C.
"November 23, 2023","Man fatally shot in Brandywine; suspect died by suicide, police say"
"November 22, 2023",U.S. Park Police officer shot in downtown D.C.
"November 22, 2023","Some Va. inmates could be released earlier after policy change, ACLU says"
"November 22, 2023",Man arrested in fatal shooting inside Fairfax County hotel
"November 22, 2023",Former D.C. teacher charged with sexually abusing student
"November 21, 2023",Police identify Md. pupils killed by van driver while walking to school
"November 21, 2023","Man critically wounded in D.C. shooting has died, police say"
"November 21, 2023",She tried to save her troubled brother. Then came a horrendous assault.
"November 20, 2023",Man fatally shot near school in Southeast Washington
"November 20, 2023",Former Md. mayor gets 30-year prison term in child-pornography case
"November 20, 2023","Six youths critically hurt in Va. crash involving alcohol, police say"
"November 20, 2023","Fentanyl ring exposed after overdose death of D.C. mother, officials say"
"November 20, 2023",Two Maryland students struck and killed by van while walking to school
"November 19, 2023","Man found slain in parking garage in Shaw, D.C. police say"
"November 19, 2023",Man fatally shot in Marriott hotel in Fairfax County
"November 18, 2023",D.C. teen killed in Southeast Washington shooting
"November 18, 2023",U.S. judge ordered to rethink ruling on Prince George’s pretrial system
"November 17, 2023",Drunk driver who killed Uber passenger in D.C. gets 8-year prison term
"November 17, 2023",Hundreds gather for pro-Palestinian rally outside Union Station
"November 17, 2023",Man fatally shot along New York Avenue in Northeast D.C.
"November 17, 2023",Three people injured in shooting near cemetery in Prince George’s
"November 17, 2023","3 charged with murder in Camp Springs area shooting, police say"
"November 17, 2023","U-Va. delays release of report on 2022 shooting, citing criminal trial"
"November 16, 2023",Lawyer says D.C. 13-year-old killed father after ‘lifetime’ of abuse
"November 16, 2023",Man who attacked Rep. Angie Craig sentenced to 27 months in prison
"November 16, 2023","Md. man charged with murder in shooting of roommate, police say"
"November 16, 2023",Ex-Pentagon police officer gets 25 years for fatally shooting two men
"November 15, 2023",Mother of boy who shot Va. teacher gets 21-month sentence on gun charges
"November 15, 2023",Second victim dies from shooting in Northeast Washington
"November 15, 2023",Three French bulldogs taken at gunpoint in Southeast Washington
"November 14, 2023",Bowie High School student brings loaded handgun to campus
"November 14, 2023",Police say 13-year-old boy fatally stabbed his father in Northwest D.C.
"November 14, 2023","Climate protester vandalizes wall at National Gallery, officials say"
"November 14, 2023",Triple murder sentence reduced for man imprisoned since he was 17
"November 13, 2023","Man is shot, critically wounded in Southeast D.C., police say"
"November 13, 2023","Facing contempt threat, D.C. finds more housing for youth detainees"
"November 13, 2023",Police arrest teen in November killing of 14-year-old
"November 13, 2023","Five slain in three-day span in D.C., continuing surge of deadly violence"
"November 13, 2023","Suspect in custody after man fatally stabbed in Alexandria, police say"
"November 13, 2023",Secret Service agent in Georgetown fires gun during vehicle break-in
"November 13, 2023","Gun store burglarized in Montgomery County, police say"
"November 12, 2023",Woman slain in Southeast Washington
"November 12, 2023",Suspect arrested in fatal shooting of man in vehicle in Northeast D.C.
"November 12, 2023","Former inmate sues Virginia, saying he was held too long"
"November 11, 2023","Man, 38, fatally shot Saturday morning in Southeast D.C., police say"
"November 11, 2023","In rare move, D.C. police bump missing woman’s case to major crime unit"
"November 11, 2023",Former FBI contractor pleads guilty to exploiting minors on gaming app
"November 11, 2023",Slaying victim found on Lost Knife Circle
"November 10, 2023",Police car stolen as car thefts soar in D.C.
"November 15, 2023",Three French bulldogs taken at gunpoint in Southeast Washington
"November 14, 2023",Bowie High School student brings loaded handgun to campus
"November 14, 2023",Police say 13-year-old boy fatally stabbed his father in Northwest D.C.
"November 14, 2023","Climate protester vandalizes wall at National Gallery, officials say"
"November 14, 2023",Triple murder sentence reduced for man imprisoned since he was 17
"November 13, 2023","Man is shot, critically wounded in Southeast D.C., police say"
"November 13, 2023","Facing contempt threat, D.C. finds more housing for youth detainees"
"November 13, 2023",Police arrest teen in November killing of 14-year-old
"November 13, 2023","Five slain in three-day span in D.C., continuing surge of deadly violence"
"November 13, 2023","Suspect in custody after man fatally stabbed in Alexandria, police say"
"November 13, 2023",Secret Service agent in Georgetown fires gun during vehicle break-in
"November 13, 2023","Gun store burglarized in Montgomery County, police say"
"November 12, 2023",Woman slain in Southeast Washington
"November 12, 2023",Suspect arrested in fatal shooting of man in vehicle in Northeast D.C.
"November 12, 2023","Former inmate sues Virginia, saying he was held too long"
"November 11, 2023","Man, 38, fatally shot Saturday morning in Southeast D.C., police say"
"November 11, 2023","In rare move, D.C. police bump missing woman’s case to major crime unit"
"November 11, 2023",Former FBI contractor pleads guilty to exploiting minors on gaming app
"November 11, 2023",Slaying victim found on Lost Knife Circle
"November 10, 2023",Police car stolen as car thefts soar in D.C.
"November 10, 2023",Executive assistant D.C. police chief leaves for Capitol Police force
"November 9, 2023",Florida lawyer held on charges he tried to blow up Chinese embassy wall
"November 9, 2023",Maryland man charged in October killing of brother
"November 9, 2023",Man charged in domestic slaying in Prince George’s County
"November 9, 2023","1 dead, 1 injured after shooting, Prince George’s police say"
"November 8, 2023","‘High-end brothel’ serving politicians and executives busted, feds say"
"November 8, 2023",Maryland settles in suit involving medical examiner’s office
"November 7, 2023",Former Montgomery County teacher accused of sexually abusing 14-year-old
"November 7, 2023",Police arrest man carrying long gun near Capitol
"November 6, 2023","Man, 23, killed Saturday morning in Southeast D.C., police say"
"November 6, 2023",D.C. mayor resurrects old policy to target open-air drug markets
"November 6, 2023",D.C. police investigate two unrelated fatal shootings
"November 6, 2023",Assistant D.C. administrator put on leave after domestic violence arrest
"November 5, 2023",U.S. Park Police officer accidentally shoots and kills fellow officer
"November 5, 2023","Man fatally shot in Montgomery County restaurant, police say"
"November 4, 2023","14-year-old, man killed in two D.C. shootings, police say"
"November 4, 2023",D.C. police arrest 22-year-old man in fatal August shooting
"November 4, 2023",Family ‘distraught’ after man’s death at Johns Hopkins was ruled a homicide
"November 4, 2023",Police exchange shots with alleged assailant in Southeast
"November 3, 2023",Two teens charged in D.C. robbery spree that ended in fatal shooting
"November 3, 2023",Man shot in Southeast Washington in 2021 dies of injuries
"November 2, 2023",Carjackings prompt finger-pointing and criticisms among D.C. officials
"November 2, 2023","Man, 36, fatally shot early Wednesday in Southeast D.C."
"November 1, 2023",Va. man pleads guilty to accidentally shooting and killing best friend
"November 1, 2023",Detective describes attempted carjacking that left D.C. youth dead
"November 1, 2023","Intruder rings doorbell in Rockville on Halloween, police say"
