neg,neu,pos,compound,Headline,Date of Post
0.492,0.508,0.0,-0.8658,"Mother fatally shot son then killed herself, Prince George’s police say","November 27, 2023"
0.0,1.0,0.0,0.0,Man is slain Friday evening in Prince George’s,"November 27, 2023"
0.375,0.625,0.0,-0.6369,"Man fatally shot in Capitol Heights, police say","November 27, 2023"
0.35,0.65,0.0,-0.6486,"Man found dead in vehicle in Alexandria, police say","November 27, 2023"
0.412,0.588,0.0,-0.6369,34-year-old man fatally shot in Northeast Washington,"November 26, 2023"
0.0,0.673,0.327,0.5267,"In Maryland, a walk for justice for a slain eighth-grader","November 26, 2023"
0.391,0.609,0.0,-0.5423,D.C. officer charged after high-speed chase and car crash,"November 25, 2023"
0.225,0.775,0.0,-0.4939,"Their sons’ lives ended in gunfire. In grief, they found a second act.","November 25, 2023"
0.0,1.0,0.0,0.0,Man is slain Thanksgiving night in Prince George’s,"November 25, 2023"
0.565,0.435,0.0,-0.8555,Suspected cocaine found at fatal gun battle with police in downtown D.C.,"November 24, 2023"
0.333,0.667,0.0,-0.6705,Police identify man killed in officer-involved shooting in downtown D.C.,"November 23, 2023"
0.674,0.326,0.0,-0.9382,"Man fatally shot in Brandywine; suspect died by suicide, police say","November 23, 2023"
0.0,1.0,0.0,0.0,U.S. Park Police officer shot in downtown D.C.,"November 22, 2023"
0.0,1.0,0.0,0.0,"Some Va. inmates could be released earlier after policy change, ACLU says","November 22, 2023"
0.485,0.515,0.0,-0.765,Man arrested in fatal shooting inside Fairfax County hotel,"November 22, 2023"
0.444,0.556,0.0,-0.5859,Former D.C. teacher charged with sexually abusing student,"November 22, 2023"
0.29,0.71,0.0,-0.6705,Police identify Md. pupils killed by van driver while walking to school,"November 21, 2023"
0.286,0.714,0.0,-0.5574,"Man critically wounded in D.C. shooting has died, police say","November 21, 2023"
0.51,0.337,0.154,-0.8126,She tried to save her troubled brother. Then came a horrendous assault.,"November 21, 2023"
0.375,0.625,0.0,-0.6369,Man fatally shot near school in Southeast Washington,"November 20, 2023"
0.268,0.732,0.0,-0.5106,Former Md. mayor gets 30-year prison term in child-pornography case,"November 20, 2023"
0.404,0.596,0.0,-0.7269,"Six youths critically hurt in Va. crash involving alcohol, police say","November 20, 2023"
0.366,0.634,0.0,-0.6369,"Fentanyl ring exposed after overdose death of D.C. mother, officials say","November 20, 2023"
0.394,0.606,0.0,-0.7579,Two Maryland students struck and killed by van while walking to school,"November 20, 2023"
0.0,1.0,0.0,0.0,"Man found slain in parking garage in Shaw, D.C. police say","November 19, 2023"
0.344,0.656,0.0,-0.6369,Man fatally shot in Marriott hotel in Fairfax County,"November 19, 2023"
0.429,0.571,0.0,-0.6705,D.C. teen killed in Southeast Washington shooting,"November 18, 2023"
0.0,1.0,0.0,0.0,U.S. judge ordered to rethink ruling on Prince George’s pretrial system,"November 18, 2023"
0.531,0.469,0.0,-0.8807,Drunk driver who killed Uber passenger in D.C. gets 8-year prison term,"November 17, 2023"
0.0,1.0,0.0,0.0,Hundreds gather for pro-Palestinian rally outside Union Station,"November 17, 2023"
0.318,0.682,0.0,-0.6369,Man fatally shot along New York Avenue in Northeast D.C.,"November 17, 2023"
0.231,0.769,0.0,-0.4019,Three people injured in shooting near cemetery in Prince George’s,"November 17, 2023"
